Method,Beta,Perf
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9373
Greedy,0.1,0.9521
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9889
SCITE,0.1,1.0
FCNN-3,0.1,0.961
GNN-4,0.1,0.9164
Greedy,0.1,0.8553
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9787
GNN-4,0.1,1.0
Greedy,0.1,0.9787
SCITE,0.1,1.0
FCNN-3,0.1,0.9485
GNN-4,0.1,0.9782
Greedy,0.1,0.8527
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9206
Greedy,0.1,0.952
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.798
GNN-4,0.1,0.7101
Greedy,0.1,0.7601
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8678
Greedy,0.1,0.8143
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.8743
GNN-4,0.1,0.9442
Greedy,0.1,0.902
SCITE,0.1,1.0
FCNN-3,0.1,0.8864
GNN-4,0.1,0.8955
Greedy,0.1,0.7799
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9173
Greedy,0.1,0.8861
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8329
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9919
GNN-4,0.1,1.0
Greedy,0.1,0.8457
SCITE,0.1,1.0
FCNN-3,0.1,0.9634
GNN-4,0.1,0.9358
Greedy,0.1,0.9634
SCITE,0.1,1.0
FCNN-3,0.1,0.8433
GNN-4,0.1,1.0
Greedy,0.1,0.8433
SCITE,0.1,1.0
FCNN-3,0.1,0.9793
GNN-4,0.1,0.6856
Greedy,0.1,0.7404
SCITE,0.1,1.0
FCNN-3,0.1,0.8602
GNN-4,0.1,1.0
Greedy,0.1,0.7982
SCITE,0.1,1.0
FCNN-3,0.1,0.9876
GNN-4,0.1,0.999
Greedy,0.1,0.9432
SCITE,0.1,1.0
FCNN-3,0.1,0.9753
GNN-4,0.1,0.6169
Greedy,0.1,0.8953
SCITE,0.1,1.0
FCNN-3,0.1,0.9681
GNN-4,0.1,0.6101
Greedy,0.1,0.8758
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9323
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9702
SCITE,0.1,1.0
FCNN-3,0.1,0.9696
GNN-4,0.1,0.916
Greedy,0.1,0.8293
SCITE,0.1,1.0
FCNN-3,0.1,0.9344
GNN-4,0.1,0.9562
Greedy,0.1,0.9344
SCITE,0.1,1.0
FCNN-3,0.1,0.9639
GNN-4,0.1,1.0
Greedy,0.1,0.9639
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9612
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9493
GNN-4,0.1,1.0
Greedy,0.1,0.9493
SCITE,0.1,1.0
FCNN-3,0.1,0.8865
GNN-4,0.1,0.9812
Greedy,0.1,0.7514
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.6823
Greedy,0.1,0.9929
SCITE,0.1,1.0
FCNN-3,0.1,0.8967
GNN-4,0.1,1.0
Greedy,0.1,0.9939
SCITE,0.1,1.0
FCNN-3,0.1,0.9328
GNN-4,0.1,0.9917
Greedy,0.1,0.8839
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.7632
Greedy,0.1,0.786
SCITE,0.1,1.0
FCNN-3,0.1,0.7559
GNN-4,0.1,0.7795
Greedy,0.1,0.7933
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9104
Greedy,0.1,0.9945
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9879
Greedy,0.1,0.8681
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.8411
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9543
Greedy,0.1,0.913
SCITE,0.1,1.0
FCNN-3,0.1,0.9242
GNN-4,0.1,1.0
Greedy,0.1,0.9242
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9453
GNN-4,0.1,0.978
Greedy,0.1,0.9453
SCITE,0.1,1.0
FCNN-3,0.1,0.9652
GNN-4,0.1,1.0
Greedy,0.1,0.9652
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9252
SCITE,0.1,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9773
Greedy,0.2,0.9978
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.7849
Greedy,0.2,0.7006
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9853
Greedy,0.2,0.8398
SCITE,0.2,1.0
FCNN-3,0.2,1.0
