Method,Num_Mut,Perf
Greedy,12,0.9773
GNN,5,1.0
Greedy,5,0.781
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9886
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.8868
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9854
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9615
GNN,12,0.7911
Greedy,12,0.7985
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.8889
Greedy,7,1.0
GNN,10,0.8329
Greedy,10,0.7787
GNN,12,1.0
Greedy,12,0.9024
GNN,5,0.9336
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8413
GNN,10,0.9513
Greedy,10,0.9027
GNN,12,0.8997
Greedy,12,0.9153
GNN,5,0.9479
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8783
Greedy,10,1.0
GNN,12,0.7417
Greedy,12,0.7729
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9609
Greedy,10,0.9286
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8889
Greedy,10,1.0
GNN,12,0.9924
Greedy,12,0.9583
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9826
Greedy,7,1.0
GNN,10,0.9719
Greedy,10,0.8974
GNN,12,0.9904
Greedy,12,0.8947
GNN,5,1.0
Greedy,5,0.9757
GNN,7,1.0
Greedy,7,1.0
