Method,Num_Mut,Perf
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,0.9633
GNN-4,12,0.9731
Greedy,12,0.9022
SCITE,12,1.0
FCNN-3,15,0.9532
GNN-4,15,0.9646
Greedy,15,0.932
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,0.9887
GNN-4,7,0.9582
Greedy,7,0.905
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.8124
Greedy,15,1.0
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,0.9897
Greedy,10,0.9437
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.9153
Greedy,12,0.8541
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.9654
Greedy,15,0.9382
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,0.9765
SCITE,7,1.0
FCNN-3,10,0.8553
GNN-4,10,0.8574
Greedy,10,0.7632
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.98
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,0.7099
GNN-4,15,0.7224
Greedy,15,0.7181
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,0.9225
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,0.9354
GNN-4,12,0.9716
Greedy,12,0.9251
SCITE,12,1.0
FCNN-3,15,0.862
GNN-4,15,0.8484
Greedy,15,0.9654
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,0.9329
SCITE,7,1.0
FCNN-3,10,0.9977
GNN-4,10,0.973
Greedy,10,0.8343
SCITE,10,1.0
FCNN-3,12,0.9356
GNN-4,12,0.9567
Greedy,12,0.7714
SCITE,12,1.0
FCNN-3,15,0.8925
GNN-4,15,0.9193
Greedy,15,0.9179
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,0.9575
GNN-4,7,0.9575
Greedy,7,0.9575
SCITE,7,1.0
FCNN-3,10,0.9394
GNN-4,10,1.0
Greedy,10,0.8241
SCITE,10,1.0
FCNN-3,12,0.7333
GNN-4,12,0.7712
Greedy,12,0.7333
SCITE,12,1.0
FCNN-3,15,0.9569
GNN-4,15,0.8298
Greedy,15,0.8493
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.9742
GNN-4,10,0.963
Greedy,10,0.8795
SCITE,10,1.0
FCNN-3,12,0.8518
GNN-4,12,0.979
Greedy,12,0.8305
SCITE,12,1.0
FCNN-3,15,0.9108
GNN-4,15,0.7523
Greedy,15,0.947
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,0.9616
SCITE,7,1.0
FCNN-3,10,0.9127
GNN-4,10,1.0
Greedy,10,0.9127
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,0.9597
GNN-4,15,0.8829
Greedy,15,0.9597
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
